title,subtitle,description,incorporation,headquarters,sectors,social_links,awards,url
ReWinner,Reducing cost and environmental impact by circular economy,"ReWinner enables commercial building owners, their lessees and construction companies to sell their physical assets, such as machinery, furniture, materials (earth, concrete, metals) that become available due to renovations, downsizing or relocation. The clients benefit from a decrease in disposal costs and an improved environmental balance. Buyers, mostly SMEs, profit from high quality products at an affordable price. We cooperate with the project leads to enable a seamless process. ReWinner contributes to implementing circular economy processes in the building and facility management sector, enabling companies to profit from positive PR as sustainability pioneers and at the same time increasing cost efficiency.Several clients among many others: Stadt Zürich, Salt, Helvetia.",12.06.2014,Zürich,"['ICT', 'Materials', 'Marketplace', 'Real estate and construction', 'Services for companies']","{'fb': 'https://www.facebook.com/rewinner/', 'home': 'http://www.rewinner.ch'}","[""Venture Kick (10'000) 2016""]",https://www.venturelab.swiss/ReWinner
OrbiWise SA,Full solutions for the internet of things,"The world’s largest Internet of Things network is currently being built in India. The virtual network servers needed for this endeavour have been provided by the Swiss startup Orbiwise.But that’s only one example of a large contract, Orbiwise has also managed to attract big clients in Latin America this year, and is also doing well in East Asia. What’s more, the company is the preferred supplier of a well-known network equipment provider. From the outset, the experienced team has focused on products  that meet the highest standards in quality. As a result, it can also count corporate groups such as Tata among its clients.",20.02.2014,Plan-Les-Ouates,"['ICT', 'Hightech', 'Wireless', 'Wearable technologies']","{'linkedin': 'https://www.linkedin.com/company/orbiwise/', 'twitter': 'https://twitter.com/OrbiWise', 'home': 'http://www.orbiwise.com'}","['TOP 100 Swiss Startups 2019', 'TOP 100 Swiss Startups 2018', 'TOP 100 Swiss Startups 2017', 'TOP 100 Swiss Startups 2016', 'TOP 100 Swiss Startups 2015']",https://www.venturelab.swiss/orbiwise
recapp IT AG,Spracherkennung in allen Schweizer Sprachen und Dialekten,"Wir bringen dem Computer Fachchinesisch und Schweizerdeutsch bei.Die recapp IT ist die führende Anbieterin für multilinguale automatische Spracherkennung im Bereich der akzentuierten Sprache und Dialekte. Seit sechs Jahren arbeiten wir an effizienten und anpassungsfähigen automatischen Spracherkennungssystemen, die Gesprochenes in allen Schweizer Sprachen (inklusive Rätoromanisch) und Schweizerdeutschen Mundarten zuverlässig erkennen und in Text umsetzen kann. Kurz: Wir schreiben was Sie sagen und machen so Ihr Mikrofon zur Tastatur.",13.10.2014,Visp,"['ICT', 'Applications', 'Big Data', 'Cloud', 'Enterprise', 'Internet', 'Media', 'Software']","{'linkedin': 'https://www.linkedin.com/company/qvanteq-ag', 'fb': 'https://facebook.com/recappit', 'twitter': 'https://twitter.com/recappit', 'home': 'http://www.recapp.ch'}","['TOP 100 Swiss Startups 2019', 'TOP 100 Swiss Startups 2017', 'TOP 100 Swiss Startups 2016', 'TOP 100 Swiss Startups 2015', ""Venture Kick (10'000) 2013"", 'IMD 2014 Startup Competition']",https://www.venturelab.swiss/recapp
ViSSee AG,Development of visual speed sensors,"ViSSee is the multi-award hi-tech company inventor of visual speed and depth sensors. A wealth of visual information flows constantly through our eyes. Visual sensors are small cameras that in addition of showing a picture or video provide a measurement of motion and shape by analyzing variations in the surrounding environment. This poses a radical improvement to traditional technologies because visual sensors are small, lightweight and use little power, have a wide field of view, dont require pointing at target, are passive and need no calibration.ViSSees sensors are used in more than 60 countries worldwide for several applications, such as helping musicians maintain focus on their music or preventing injuries when falling off racing motorcycles.",09.07.2009,Zug,"['ICT', 'Automotive', 'Consumer products', 'Aviation and Aerospace', 'Electronics', 'Mechanics', 'Robotics', 'Mobile', 'Software']","{'linkedin': 'https://www.linkedin.com/company/vissee', 'twitter': 'https://twitter.com/vissee?lang=en', 'home': 'https://vissee.ch/'}","['TOP 100 Swiss Startups 2011', ""Venture Kick (10'000) 2008"", 'SwissParks.ch Award 2012', 'W.A. de Vigier Stiftung 2011', 'IMD 2009 Startup Competition', 'Venture 2010 - 1. Phase ""Geschäftsidee""', 'UZH Spin-off 2009']",https://www.venturelab.swiss/ViSSee
PrognosiX AG,We improve supply chains and decision making with ai.,"PROGNOSIX revolutionizes decision-making processes based on data and AI algorithms, resulting in immediate process optimization and higher profits. We implement predictive analytics technologies to support planning, use decision intelligence to allow for objective, data based decision making, and integrate the ai technologies into the processes of our customers. This results in 50% more accurate forecasts, 40% reduction of assortments, 15% reduction of stock, and up to 5% increase in ebitda for our customers. Currently, we are focussing on strong growth in healthcare (medium to large hospitals).",01.09.2014,Zürich,"['ICT', 'Big Data', 'Software']",{'home': 'http://www.prognosix.ch'},"[""Venture Kick (30'000) 2014 ""]",https://www.venturelab.swiss/PrognosiX
Amazee Labs AG,Online community platform to launch fund raising projects,Amazee Labs is a full-service web development agency specializing in beautiful Drupal solutions.,17.09.2007,Zürich,"['ICT', 'Social networks']","{'fb': 'http://www.facebook.com/social.collaboration', 'home': 'http://www.amazee.com'}",['«venture leaders» 2009'],https://www.venturelab.swiss/Amazee
EverdreamSoft SA,"Simple, ergonomic and innovative products to a public that values mobility","EverdreamSoft is a Swiss-based company specialised in the development of online trading card games giving the possibility for the community of players to interact and help on the development of the game.  The vision of EverdreamSoft is to bring New Technologies to the world of entertainment and design. Media consumption patterns are changing very rapidly with the arrival of the Internet and, more recently, smartphones. As a passionate young tech start-up, EverdreamSoft sees this booming new market as a huge opportunity.  Taking advantage of the gap left by traditional large firms, who are often slow to adapt to changes, the company provides simple, innovative and ergonomic products adapted to a new generation of highly mobile consumers.",01.11.2010,Genève,"['ICT', 'Blockchain', 'Gaming', 'Media', 'Mobile', 'Software']","{'linkedin': 'https://www.linkedin.com/company/everdreamsoft', 'fb': 'https://www.facebook.com/everdreamsoft/', 'twitter': 'https://twitter.com/everdreamsoft', 'home': 'http://www.everdreamsoft.com'}","['TOP 100 Swiss Startups 2013', ""Venture Kick (30'000) 2010""]",https://www.venturelab.swiss/EverdreamSoft
Astrivis AG,Turning mobile devices into 3D scanners,Astrivis develops real-time 3D software technologies that turn any smartphones or tablets into easy-to-use interactive 3D scanners.,04.03.2016,Zürich,"['ICT', 'Media', 'Mobile', 'Software']","{'linkedin': 'https://www.linkedin.com/company/10685456', 'home': 'https://www.astrivis.com/'}","[""Venture Kick (10'000) 2014""]",https://www.venturelab.swiss/Astrivis
Switzerlend AG (LEND),Fair loans for borrowers. Good returns for investors.,"Make finance accessible to everyone by challenging the status quo and by creating a modern finance company. We grow our business with honesty and set new standards in transparency. LEND is where borrowers feel treated fairly, lenders recommend us to their family and friends, employees are proud to work and shareholders will always want to invest more.",04.08.2015,Zürich,"['ICT', 'Blockchain', 'Consumer', 'Finance', 'Fintech', 'Internet', 'Marketplace', 'Open source']","{'linkedin': 'https://www.linkedin.com/company/lend---switzerlend-ag/', 'fb': 'https://www.facebook.com/lend.ch/', 'twitter': 'https://twitter.com/LEND_CH', 'ig': 'https://www.instagram.com/lend_ch/?hl=de', 'home': 'http://www.lend.ch'}","['Venture Leaders Fintech 2018', 'UZH Spin-off 2015']",https://www.venturelab.swiss/switzerlend-ag-lend
TYXIT SA (Sonix),High quality audio at the speed of light.,"SONIX is an ultra-low latency and HD quality audio/video communication app. Our core underlying deep tech reduces audio latency by up to 10x, enabling remote individuals to interact as if they were in the same room, in sync, but from hundreds of kilometers away. This is a game changer in many applications, including gaming, music, and AR/VR. SONIX has evolved into a comprehensive platform for 3Bio gamers, addressing their two core needs: gaining a low latency edge when playing and showcasing their fandom to their favorite brands by customizing 3D avatars and obtaining skins from the #1 in-App marketplace for gamers.",23.05.2019,Yverdon-les-bains,"['ICT', 'Consumer products', 'Communications', 'Blockchain', 'Gaming', 'Internet', 'Media', 'Mobile', 'SaaS', 'Social networks', 'Software']","{'linkedin': 'https://www.linkedin.com/company/sonixapp/mycompany/?viewAsMember=true', 'twitter': 'https://twitter.com/sonixapp', 'home': 'https://www.sonixapp.com'}","['TOP 100 Swiss Startups 2023', 'TOP 100 Swiss Startups 2022', 'Venture Leaders Technology 2022', ""Venture Kick (30'000) 2018"", 'Venture Leaders Mobile 2022']",https://www.venturelab.swiss/tyxit-sa-sonix
